subject,session,date,condition,trial_num,ll_side,choice,last_choice
Roberta,5,2018-09-14,Low cost different,8,right,1,1
Roberta,5,2018-11-06,Low cost same,3,left,0,NA
Roberta,5,2018-11-06,Low cost same,4,right,1,0
Roberta,5,2018-11-06,Low cost same,5,right,1,1
Roberta,5,2018-11-06,Low cost same,6,right,0,1
Roberta,5,2018-11-06,Low cost same,7,left,0,0
Roberta,5,2018-11-06,Low cost same,8,left,0,0
Roberta,6,2018-07-23,High cost,3,right,0,NA
Roberta,6,2018-07-23,High cost,4,right,0,0
Roberta,6,2018-07-23,High cost,5,left,0,0
Roberta,6,2018-07-23,High cost,6,left,0,0
Roberta,6,2018-07-23,High cost,7,left,0,0
Roberta,6,2018-07-23,High cost,8,right,0,0
Roberta,6,2018-09-18,Low cost different,3,right,1,NA
Roberta,6,2018-09-18,Low cost different,4,left,1,1
Roberta,6,2018-09-18,Low cost different,5,left,1,1
Roberta,6,2018-09-18,Low cost different,6,right,1,1
Roberta,6,2018-09-18,Low cost different,7,left,0,1
Roberta,6,2018-09-18,Low cost different,8,right,0,0
Roberta,6,2018-11-09,Low cost same,3,right,0,NA
Roberta,6,2018-11-09,Low cost same,4,left,0,0
Roberta,6,2018-11-09,Low cost same,5,right,1,0
Roberta,6,2018-11-09,Low cost same,6,right,0,1
Roberta,6,2018-11-09,Low cost same,7,left,0,0
Roberta,6,2018-11-09,Low cost same,8,left,1,0
Roberta,7,2018-07-24,High cost,3,right,0,NA
Roberta,7,2018-07-24,High cost,4,right,0,0
Roberta,7,2018-07-24,High cost,5,right,0,0
Roberta,7,2018-07-24,High cost,6,left,0,0
